iter	Passed	Remaining
0	128	128598
1	129	64485
2	129	43095
3	130	32434
4	130	26046
5	131	21797
6	132	18751
7	132	16484
8	133	14711
9	134	13309
10	135	12145
11	135	11170
12	136	10351
13	136	9645
14	137	9037
15	138	8504
16	138	8032
17	139	7612
18	140	7237
19	140	6897
20	141	6590
21	141	6312
22	142	6059
23	143	5823
24	143	5608
25	144	5411
26	144	5224
27	145	5049
28	145	4885
29	146	4733
30	146	4590
31	147	4456
32	147	4331
33	148	4212
34	148	4102
35	149	3997
36	149	3897
37	150	3802
38	150	3713
39	151	3628
40	151	3546
41	152	3470
42	152	3397
43	153	3327
44	153	3262
45	154	3198
46	154	3137
47	155	3078
48	155	3021
49	156	2966
50	156	2913
51	157	2863
52	157	2815
53	157	2767
54	158	2721
55	158	2677
56	159	2635
57	159	2595
58	160	2555
59	160	2517
60	161	2481
61	161	2445
62	162	2411
63	162	2377
64	163	2345
65	163	2313
66	163	2282
67	164	2249
68	164	2221
69	165	2193
70	165	2165
71	166	2139
72	166	2114
73	166	2089
74	167	2065
75	167	2041
76	168	2019
77	168	1997
78	169	1975
79	169	1954
80	170	1933
81	170	1912
82	171	1892
83	171	1873
84	172	1853
85	172	1834
86	172	1814
87	173	1796
88	173	1780
89	174	1763
90	174	1747
91	175	1730
92	175	1714
93	176	1698
94	176	1683
95	177	1668
96	177	1653
97	178	1638
98	178	1624
99	179	1611
100	179	1597
101	179	1582
102	180	1569
103	180	1556
104	181	1543
105	181	1532
106	182	1519
107	182	1507
108	183	1496
109	183	1485
110	183	1473
111	184	1462
112	184	1451
113	185	1440
114	185	1429
115	186	1418
116	186	1408
117	187	1398
118	187	1388
119	187	1378
120	188	1368
121	188	1359
122	189	1348
123	189	1339
124	190	1330
125	190	1321
126	191	1313
127	191	1303
128	191	1295
129	192	1287
130	192	1279
131	193	1271
132	193	1263
133	194	1255
134	194	1248
135	195	1240
136	195	1233
137	196	1225
138	196	1217
139	197	1210
140	197	1203
141	198	1196
142	198	1189
143	198	1182
144	199	1176
145	200	1169
146	200	1163
147	200	1156
148	201	1150
149	201	1144
150	202	1138
151	202	1131
152	203	1125
153	203	1119
154	204	1113
155	204	1107
156	205	1101
157	205	1095
158	205	1089
159	206	1083
160	206	1078
161	207	1072
162	207	1067
163	208	1062
164	208	1056
165	209	1051
166	209	1046
167	210	1041
168	210	1036
169	211	1031
170	211	1026
171	212	1021
172	212	1016
173	213	1012
174	213	1007
175	214	1002
176	214	997
177	215	993
178	215	988
179	216	984
180	216	978
181	216	973
182	217	969
183	217	965
184	218	960
185	218	957
186	219	953
187	219	949
188	220	945
189	220	941
190	221	937
191	221	933
192	222	929
193	222	925
194	223	921
195	223	917
196	224	913
197	224	909
198	225	906
199	225	902
200	226	898
201	226	894
202	226	891
203	227	887
204	228	884
205	228	880
206	229	877
207	229	873
208	229	870
209	230	866
