iter	Passed	Remaining
0	0	745
1	1	719
2	2	693
3	2	657
4	3	636
5	3	611
6	4	595
7	4	591
8	5	588
9	5	590
10	6	588
11	7	591
12	7	586
13	8	579
14	8	577
15	9	571
16	9	570
17	10	565
18	10	561
19	11	559
20	12	563
21	12	563
22	13	562
23	13	559
24	14	559
25	14	556
26	15	552
27	15	550
28	16	548
29	16	545
30	17	545
31	17	544
32	18	547
33	19	546
34	19	545
35	20	543
36	20	541
37	21	540
38	21	538
39	22	537
40	22	536
41	23	535
42	24	534
43	24	535
44	25	535
45	25	535
46	26	534
47	26	533
48	27	532
49	27	531
50	28	530
51	29	529
52	29	528
53	30	526
54	30	526
55	31	526
56	31	525
57	32	525
58	32	524
59	33	524
60	34	524
61	34	524
62	35	523
63	35	521
64	36	520
65	36	520
66	37	519
67	37	519
68	38	517
69	38	516
70	39	516
71	40	515
72	40	515
73	41	513
74	41	513
75	42	512
76	42	511
77	43	511
78	43	510
79	44	509
80	44	509
81	45	508
82	45	504
83	46	504
84	46	503
85	47	503
86	47	502
87	48	501
88	48	501
89	49	500
90	50	500
91	50	500
92	51	499
93	51	498
94	52	497
95	52	497
96	53	497
97	53	496
98	54	495
99	55	495
100	55	494
101	56	493
102	56	493
103	57	493
104	57	492
105	58	491
106	58	490
107	59	490
108	59	489
109	60	488
110	60	488
111	61	487
112	62	486
113	62	486
114	63	486
115	63	485
116	64	484
117	65	486
118	65	485
119	66	484
120	66	484
121	67	482
122	67	482
123	68	482
124	68	481
125	69	481
126	69	480
127	70	479
128	70	478
129	71	476
130	71	475
131	72	474
132	72	473
133	73	472
134	73	471
135	74	470
136	74	469
137	75	469
138	75	468
139	76	468
140	76	466
141	76	465
142	77	464
143	77	463
144	78	462
145	79	462
146	79	462
147	80	462
148	80	462
149	81	461
150	82	461
151	82	460
152	83	460
153	83	459
154	84	458
155	84	457
156	85	456
157	85	455
158	85	454
159	86	454
160	86	453
161	87	452
162	88	451
163	88	451
164	88	450
165	89	449
166	89	448
167	90	447
168	90	446
169	91	446
170	91	445
171	92	444
172	92	444
173	93	443
174	93	442
175	94	442
176	94	441
177	95	440
178	95	439
179	96	438
180	96	438
181	97	437
182	97	437
183	98	436
184	98	435
185	99	435
186	99	434
187	100	433
188	100	432
189	101	432
190	101	431
191	102	430
192	102	429
193	103	428
194	103	427
195	104	427
196	104	426
197	105	425
198	105	424
199	106	424
200	106	423
201	107	422
202	107	422
203	108	421
204	108	420
205	108	420
206	109	419
207	109	418
208	110	417
209	110	417
210	111	416
211	112	416
212	112	415
213	113	415
214	113	414
215	113	413
216	114	413
217	114	412
218	115	411
219	115	410
220	116	409
221	116	408
222	117	408
223	117	407
224	118	406
225	118	406
226	119	406
227	119	405
228	120	404
229	120	404
230	121	403
231	121	402
232	122	401
233	122	401
234	123	400
235	123	399
236	123	399
237	124	398
238	125	398
239	125	398
240	126	398
241	126	397
242	127	396
243	127	396
244	128	395
245	128	394
246	129	394
247	129	393
248	130	392
249	130	391
250	131	391
251	131	391
252	132	390
253	132	389
254	133	389
255	133	388
256	134	387
257	134	387
258	135	386
259	135	385
260	135	384
261	136	384
262	136	383
263	137	383
264	138	382
265	138	382
266	138	381
267	139	380
268	140	380
269	140	380
270	141	380
271	141	379
272	142	379
273	143	379
274	143	378
275	144	378
276	145	378
277	145	377
278	146	377
279	146	376
280	147	376
281	147	375
282	148	375
283	148	374
284	148	373
285	149	372
286	149	372
287	150	372
288	151	371
289	151	371
290	152	370
291	152	369
292	153	369
293	153	368
294	154	368
295	154	367
296	154	366
297	155	366
298	155	365
299	156	365
300	157	364
301	157	364
302	158	364
303	158	363
304	159	363
305	159	362
306	160	362
307	160	361
308	161	361
309	161	360
310	162	359
311	162	359
312	163	358
313	164	358
314	164	357
315	165	357
316	165	356
317	166	356
318	166	355
319	166	354
320	167	354
321	167	353
322	168	352
323	168	352
324	169	351
325	169	351
326	170	350
327	171	350
328	171	350
329	172	349
330	172	348
331	172	348
332	173	347
333	173	346
334	174	346
335	174	345
336	175	345
337	175	344
338	176	344
339	177	343
340	177	343
341	178	342
342	178	342
343	179	342
344	179	341
345	180	341
346	180	340
347	181	339
348	181	339
349	182	338
350	183	338
351	183	338
352	184	337
353	184	336
354	185	336
355	185	335
356	185	334
357	186	334
358	186	333
359	187	333
360	187	332
361	188	332
362	189	331
363	189	331
364	190	330
365	190	329
366	190	329
367	191	328
368	191	328
369	192	327
370	192	326
371	193	326
372	193	325
373	194	324
374	194	324
375	195	324
376	195	323
377	196	322
378	196	322
379	197	321
380	197	321
381	198	320
382	198	320
383	199	319
384	199	319
385	200	318
386	200	318
387	201	317
388	201	316
389	202	316
390	202	315
391	203	315
392	203	314
393	204	314
394	204	313
395	205	312
396	205	312
397	206	311
398	206	310
399	206	310
400	207	310
401	208	309
402	208	308
403	208	308
404	209	307
405	209	307
406	210	306
407	210	305
408	211	305
409	211	304
410	212	304
411	212	303
412	213	303
413	213	302
414	214	302
415	214	301
416	215	301
417	215	300
418	216	300
419	216	299
420	217	298
421	217	298
422	218	297
423	218	296
424	219	296
425	219	295
426	220	295
427	220	294
428	221	294
429	221	293
430	222	293
431	222	292
432	222	291
433	223	291
434	223	290
435	224	290
436	224	289
437	225	289
438	225	288
439	226	288
440	226	287
441	227	287
442	227	286
443	228	285
444	228	285
445	229	284
446	229	284
447	230	283
448	230	283
449	231	282
450	231	281
451	231	281
452	232	280
453	233	280
454	233	279
455	234	279
456	234	278
457	235	278
458	235	277
459	235	276
460	236	276
461	236	275
462	237	275
463	237	274
464	238	274
465	238	273
466	239	273
467	239	272
468	240	272
469	240	271
470	241	271
471	241	270
472	242	270
473	242	269
474	243	268
475	243	268
476	244	267
477	244	267
478	245	266
479	245	266
480	246	265
481	246	265
482	247	264
483	247	264
484	248	263
485	248	262
486	249	262
487	249	261
488	249	261
489	250	260
490	250	260
491	251	259
492	251	259
493	252	258
494	252	258
495	253	257
496	253	256
497	254	256
498	254	255
499	255	255
500	255	254
501	256	254
502	256	253
503	257	253
504	257	252
505	258	252
506	258	251
507	259	251
508	259	250
509	260	249
510	260	249
511	261	248
512	261	248
513	262	247
514	262	247
515	262	246
516	263	246
517	263	245
518	264	245
519	264	244
520	265	244
521	265	243
522	266	242
523	266	242
524	267	241
525	267	241
526	268	240
527	268	240
528	269	239
529	269	239
530	270	238
531	270	237
532	271	237
533	271	237
534	272	236
535	272	236
536	273	235
537	273	235
538	274	234
539	274	234
540	275	233
541	275	233
542	276	232
543	276	232
544	277	231
545	277	231
546	278	230
547	278	230
548	279	229
549	279	228
550	280	228
551	280	227
552	281	227
553	281	226
554	282	226
555	282	225
556	283	225
557	283	224
558	284	224
559	284	223
560	285	223
561	285	222
562	286	222
563	286	221
564	287	220
565	287	220
566	287	219
567	288	219
568	288	218
569	289	218
570	290	217
571	290	217
572	291	216
573	291	216
574	292	215
575	292	215
576	293	214
577	293	214
578	294	213
579	294	213
580	294	212
581	295	212
582	295	211
583	296	211
584	296	210
585	297	210
586	297	209
587	298	209
588	299	208
589	299	208
590	300	207
591	300	207
592	300	206
593	301	206
594	301	205
595	302	205
596	303	204
597	303	204
598	303	203
599	304	202
600	304	202
601	305	201
602	305	201
603	306	200
604	306	200
605	307	199
606	307	199
607	308	198
608	308	198
609	309	197
610	309	197
611	310	196
612	310	196
613	311	195
614	311	195
615	312	194
616	312	194
617	313	193
618	313	193
619	314	192
620	314	192
621	315	191
622	316	191
623	316	190
624	317	190
625	317	189
626	317	189
627	318	188
628	318	188
629	319	187
630	319	187
631	320	186
632	320	185
633	321	185
634	321	185
635	322	184
636	322	183
637	323	183
638	323	182
639	324	182
640	324	181
641	325	181
642	325	180
643	326	180
644	326	179
645	327	179
646	327	178
647	328	178
648	328	177
649	329	177
650	329	176
651	330	176
652	330	175
653	331	175
654	331	174
655	332	174
656	332	173
657	332	173
658	333	172
659	333	172
660	334	171
661	334	171
662	335	170
663	335	169
664	336	169
665	336	168
666	337	168
667	337	167
668	338	167
669	338	166
670	339	166
671	339	165
672	340	165
673	340	164
674	341	164
675	341	163
676	342	163
677	342	162
678	343	162
679	343	161
680	343	161
681	344	160
682	344	160
683	345	159
684	345	158
685	346	158
686	346	157
687	347	157
688	347	156
689	348	156
690	348	155
691	349	155
692	349	154
693	350	154
694	350	153
695	351	153
696	351	152
697	351	152
698	352	151
699	352	151
700	353	150
701	354	150
702	354	149
703	355	149
704	355	148
705	356	148
706	356	147
707	357	147
708	357	146
709	358	146
710	358	145
711	359	145
712	359	144
713	360	144
714	361	143
715	361	143
716	362	142
717	362	142
718	363	141
719	363	141
720	364	140
721	364	140
722	365	139
723	365	139
724	366	138
725	366	138
726	367	137
727	367	137
728	368	136
729	368	136
730	369	135
731	369	135
732	370	134
733	370	134
734	371	133
735	371	133
736	372	132
737	372	132
738	373	131
739	373	131
740	374	130
741	374	130
742	375	129
743	375	129
744	376	128
745	376	128
746	377	127
747	377	127
748	378	126
749	378	126
750	379	125
751	379	125
752	380	124
753	380	124
754	381	123
755	381	123
756	382	122
757	382	122
758	383	121
759	383	121
760	383	120
761	384	120
762	384	119
763	385	119
764	385	118
765	386	118
766	386	117
767	387	117
768	387	116
769	388	115
770	388	115
771	389	114
772	389	114
773	390	113
774	390	113
775	391	112
776	391	112
777	392	111
778	392	111
779	393	110
780	393	110
781	394	109
782	394	109
783	394	108
784	395	108
785	395	107
786	396	107
787	396	106
788	397	106
789	397	105
790	398	105
791	398	104
792	399	104
793	399	103
794	400	103
795	400	102
796	401	102
797	401	101
798	402	101
799	402	100
800	402	100
801	403	99
802	403	99
803	404	98
804	405	98
805	405	97
806	406	97
807	406	96
808	407	96
809	407	95
810	407	95
811	408	94
812	408	94
813	409	93
814	409	93
815	410	92
816	410	92
817	411	91
818	411	91
